username,userimage,content,score,thumbsupcount,reviewcreatedversion,at,replycontent,repliedat,appversion,sentiment_score,sentiment
User_710,,"UBER BLOWS LYFT OUT THE WATER! A lyft ride that was costing me $23 cost me ONLY $14.65 on Uber. Uber is cheaper and smoother, and overall BETTER. LOVE IT",5,0,,2024-12-17 00:57:22,,,,0.8707,positive
User_712,,Very good and low rate,5,0,4.556.10005,2024-12-17 00:54:18,,,4.556.10005,0.2094,positive
User_713,,👍 low price,5,0,4.556.10005,2024-12-17 00:50:03,,,4.556.10005,-0.2732,negative
User_719,,It's always good to know someone is out to give you a ride for the lowest cost.,5,0,,2024-12-17 00:33:51,,,,0.0772,positive
User_721,,Convenient and affordable,5,0,4.556.10005,2024-12-17 00:26:18,,,4.556.10005,0.0,neutral
User_730,,Nice ride with but I need some offer or coupon fare is lit expensive,4,0,4.556.10005,2024-12-16 23:50:45,,,4.556.10005,0.2263,positive
User_740,,"This company thrives on ripping off customers, I cancel rides instantly and still get charged as well as being more expensive than local cab services",1,0,4.554.10001,2024-12-16 23:30:07,,,4.554.10001,-0.1779,negative
User_742,,"I had Uber cash to use but the app wouldn't let me book/reserve. Their support ghosted me for 5 days. Was able to use half the Uber cash later in my trip and now my balance is zero. So Uber not only doesn't care that their service isn't working properly, they took my funds away. I'll never use this service again. Corporate thieves.",1,1,4.556.10005,2024-12-16 23:27:15,,,4.556.10005,0.228,positive
User_746,,I checked two three time that the price is increased when I check the ride and closing app for few time and again price of ride getting 10-15 rupees more .,1,0,4.554.10001,2024-12-16 23:17:31,,,4.554.10001,0.2732,positive
User_747,,"I'll start off by saying I have used them for about three weeks and every time I go 5 miles into town it is 22$ to $30. I got on Lyft today and both rides I needed today were $10-13 cheaper. Also you should know that Uber has taken down their customer support phone number, so you will have to deal with a live chat and that's hit or miss ( mostly misses). Hopefully that will help you decide if this app is suitable for you.",1,0,4.556.10005,2024-12-16 23:15:54,,,4.556.10005,0.7096,positive
User_750,,"Prices have become absolutely ridiculous. Charging almost 50 bucks for a 15 minute ride when it's not even snowing or raining? Beyond robbery, i only use when there's some type of deal now.",2,0,4.556.10005,2024-12-16 23:09:02,,,4.556.10005,-0.4201,negative
User_753,,it's always quick waiting for a ride sometimes it can be more expensive than Lyft not much to say about the app to be honest since the drivers do all the work . I guess the only thing you can rate Uber for is how quickly they match you with a driver the rest is on the drivers service but overall I like it.,5,0,4.556.10005,2024-12-16 22:59:51,,,4.556.10005,0.6597,positive
User_754,,"Absolutely tired of ghost charges, they take every opportunity to charge your card without you knowing it, it has happened multiple times and it's just not worth it with the current fares",1,0,4.556.10005,2024-12-16 22:54:03,,,4.556.10005,-0.693,negative
User_762,,Horrendous business model They price gouge you constantly They cancel your trip many times and ask you to pay more to not have your trips cancelled before a driver comes pick you up Completely horrible greedy behaviour,1,0,4.556.10005,2024-12-16 22:33:15,,,4.556.10005,-0.927,negative
User_764,,This ener man as soon as I got in his car at my house on the last ride I said did the payment go through and he said yes so I locked my card I've had hackers trying to use my Uber and Lyft my bank cards I can't get in my credit karma I have no emails now . So the line was a tiny bit long not much and I get home check my Uber and was a charge for wainting which I new nothing off I just wanted to make my sure I locked my card and he said nothing about another ride home cost at all and when I Uber,1,0,4.556.10005,2024-12-16 22:30:39,,,4.556.10005,0.6597,positive
User_781,,Price,1,0,4.556.10005,2024-12-16 21:58:12,,,4.556.10005,0.0,neutral
User_791,,Convenient and Cheaper alternative,5,0,4.556.10005,2024-12-16 21:34:49,,,4.556.10005,0.0,neutral
User_796,,Great knowing which driver and car are coming and the price is decent,5,0,4.556.10005,2024-12-16 21:28:31,,,4.556.10005,0.6249,positive
User_801,,Bekar ... Muje booking ke time alag peyment dikhaya or utarne ke bad usse dubble payment dikhaya ... Mere divise mey same location surch karke zada price ata hai or mere friend ke phone mey same location ke lie car search karke usse 200/300 rupay kam dikhate hai... Sabke pass se same payse nahi late.,1,0,4.555.10003,2024-12-16 21:19:34,,,4.555.10003,-0.0772,negative
User_804,,"Very good, always on time and with no hidden costs. Plus you be getting them discounts left, right and center ❤️😍😍",5,0,4.520.10000,2024-12-16 21:11:04,,,4.520.10000,0.7902,positive
User_808,,It's decent but lately rides takes too long and rides are getting more expensive even with the promos available..sort that issue out and you can expect a 5 star rating.,3,0,4.555.10003,2024-12-16 21:05:56,,,4.555.10003,0.0,neutral
User_810,,"I booked a ride at ₹363. The driver took some different route than the one showing in the the app. When I reached my destination, the fare was ₹477. While we were unloading the luggage (which took 1 min), the fare raised to ₹482 and kept on increasing. Why are we getting charged when the driver took the wrong route or even when the cab was idle at the destination. The driver was also very rude. He was not accepting that he took the wrong route and was blaming us.",1,70,4.556.10005,2024-12-16 20:56:05,,,4.556.10005,-0.9358,negative
User_829,,"I don't have to use Uber that often but when I have it's been hassle free, easy to use with no issues. Driver are nice. Some are more talkative than others but that's fine with me. Sometimes I have to take my dog with me and the drivers are cool with it as long as you order a ride that says it's for pets, or you send message to driver ahead of time to allow them to choose the ride or not. I bring a blanket so he doesn't mess up their seats. so far it's not been issue.Uber is cheaper than lyft.",5,0,,2024-12-16 20:14:22,,,,0.9626,positive
User_832,,Rate is high but rides are ok,4,0,,2024-12-16 20:08:54,,,,0.4215,positive
User_839,,"Evertime if someone is booking please tell them that, if there are late than expected time of arrival to destination then cab fair rates will increase.",3,0,4.549.10000,2024-12-16 19:51:24,,,4.549.10000,0.7096,positive
User_845,,Reasonable fare,5,0,4.556.10005,2024-12-16 19:31:11,,,4.556.10005,0.0,neutral
User_860,,Great and cheap,5,0,4.556.10005,2024-12-16 18:56:59,,,4.556.10005,0.6249,positive
User_867,,The company does not pay their drivers well enough to live. Avoid this company at all costs. Their support for customers and drivers is absolutely horrendous. Worst company around.,1,0,4.555.10003,2024-12-16 18:33:10,,,4.555.10003,-0.7633,negative
User_882,,love uber so much cheaper Nd better than lyft,5,0,4.556.10005,2024-12-16 17:43:34,,,4.556.10005,0.7964,positive
User_883,,"Review for eats part of app: Some parts of the app are good. Other parts are not. For example, my order arrived no problem, it was easy to order, could see the driver on GPS, all good. I was given the option to rate my order but I hadn't had a chance to check it yet. I sat down to eat, found problems with my order, went back on the app after I finished and the option to rate was gone. I also couldn't get a receipt. Not good.",3,7,4.556.10005,2024-12-16 17:40:51,,,4.556.10005,-0.509,negative
User_891,,"A good app neh,but the prices on my phone always differ from the drivers one",1,0,,2024-12-16 17:12:40,,,,0.4404,positive
User_898,,Is very reliable and affordable,5,0,4.556.10005,2024-12-16 16:57:31,,,4.556.10005,0.0,neutral
User_899,,Uber is Better than ola in everything even fare also,5,0,4.556.10005,2024-12-16 16:56:24,,,4.556.10005,0.4902,positive
User_924,,"In Dec 2024, Uber/driver overcharged us with extra $35 fee for ""Rerouting Fee"" on top of the original $45 fare, AFTER 1 or 2 days after the ride was taken. This is very shady & dishonest & theiving practices from Uber! And no way to dispute this extra late charge inside the uber app. We sent a message to uber customer support and no responses at all. We are considering chargeback dispute with credit card company, and NEVER use Uber again for our taxi/rideshares in future.",1,0,4.510.10001,2024-12-16 15:40:50,,,4.510.10001,-0.6864,negative
User_958,,Almost every ride has a different price than the given price at the beginning of the ride.,1,0,4.556.10005,2024-12-16 14:08:14,,,4.556.10005,0.0,neutral
User_981,,"Better than all apps and prices are reasonable, dont use any other app use uber it will be a great experience with uber",5,0,,2024-12-16 12:33:34,,,,0.7906,positive
User_989,,"0 star... On one ride, uber charged me multiple times but they say its just an authorised hold. Its been over a month... Nothing is resolved. Another of my ride failed because no uber available but it still charged money from my account and the ride is not even on order history so I cant even get help TT. Uber scammed me of ~$60 (incl uber eats failed order). So I'm going to be petty and rate 0 star + delete app even if there is $5 credit 🙃",1,0,,2024-12-16 12:09:46,,,,-0.954,negative
User_991,,When we booked it the price shows us 81 ruppees and when we reached our destination it is showing 135 ruppees then driver told us that the amount is 135. But in our mobile ti is still showing 81 ruppees. We trust uber . But they always betray us and take more money. And they delay too much.,1,0,4.556.10005,2024-12-16 12:05:03,,,4.556.10005,-0.6249,negative
User_1007,,Rates are more than rapido,1,0,,2024-12-16 11:36:01,,,,0.0,neutral
User_1015,,Charges Double the Fare fixed by Govt,1,0,4.556.10005,2024-12-16 11:24:51,,,4.556.10005,-0.2732,negative
User_1025,,Nice rate,5,0,4.556.10005,2024-12-16 10:47:39,,,4.556.10005,0.4215,positive
User_1054,,"The pick up time offered always doubles or more after you commit to a ride. If you cancel because of this you are charged a cancelation fee. Fraudulent. When the time doubles, the price should drop. Just tried to book another ride that said 3 min pickup. When I selected it, it immediately became 14 minutes. Thank God for Lyft!!!",1,2,4.550.10001,2024-12-16 09:05:01,,,4.550.10001,-0.4427,negative
User_1060,,This app is very inconsiderate. Sometimes it ups my Uber price $20 and they do not care whether you have it or not,1,0,4.556.10005,2024-12-16 08:52:35,,,4.556.10005,-0.7023,negative
User_1113,,Good price,5,0,4.556.10005,2024-12-16 05:23:46,,,4.556.10005,0.4404,positive
User_1128,,"I will not tolerate video ads in this app. Specifically on the screen when waiting for your Uber to arrive. I am already paying for the uber ride, AND I pay for Uber One. Video ads on top of ride fees and a monthly subscription screams of wanton greed for we are not talking about a free website that needs to be monetized, we are talking about ads that don't need to be there and only serve to justicely enrich Uber.",1,0,4.556.10005,2024-12-16 03:43:19,,,4.556.10005,-0.0516,negative
User_1129,,Comfortable and good prices,5,0,,2024-12-16 03:34:09,,,,0.7351,positive
User_1134,,"Seems to be much cheaper than some competitors away from the city. A ride cost $8.xx with Uber, but would have been nearly $30 with a competitor with the expectation of a 45-60 minute wait.",5,0,,2024-12-16 03:11:27,,,,0.0,neutral
User_1141,,Charged me for immediately cancelling a ride because the trip began and I wasn't in the car! Pickup times vary wildy (even in a popular metro area) and drop off times are inaccurate. How can you charge me for immediately cancelling a ride when the ride has been started without me? Reporting problems is also a total nightmare. Made me late over and over again. Fuming.,1,0,,2024-12-16 02:22:46,,,,-0.6634,negative
User_1147,,Wow yaar awesome rides and rates so impressed thanks uber 😍😍,5,0,4.555.10003,2024-12-16 02:07:03,,,4.555.10003,0.9697,positive
User_1151,,"Lost my 5 star rating for being threatened by an uber driver, constantly waiting long times due to manipulation of fares by uber drivers as well",1,0,4.556.10005,2024-12-16 01:51:14,,,4.556.10005,-0.6293,negative
User_1180,,"Very Bad experience the driver will cancel the ride,he himself but sometimes we should wait very much that my son school timings will be over. He should get beating sometimes because of Uber riders. If they accept the ride they will come only little way,and then the driver himself cancel the ride.So I request you to improve the settings of the driver or what is suitable for you to do. Please concentrate on this many people are suffering from this problem.",1,0,4.556.10005,2024-12-16 00:14:28,,,4.556.10005,-0.7843,negative
User_1184,,Grate service with reasonable price,5,0,4.556.10005,2024-12-15 23:59:49,,,4.556.10005,0.0,neutral
User_1191,,I've been using this app from today but It's perfect and you can pay whit the bank account and get nice price I love this app this is forever mine I love it,5,0,4.556.10005,2024-12-15 23:40:07,,,4.556.10005,0.9711,positive
User_1209,,"Uber is degrading day by day. I'm using uber since a very long time. The bike riders they hire are very rude, abusive and has no ethics. They ask double and triple of the shown fare. I've another account too. Even there I've reported multiple times yet no action has been taken. Do take action against these unsafe drivers who has no manners.",1,0,4.554.10001,2024-12-15 22:33:19,,,4.554.10001,-0.9549,negative
User_1215,,Rate to high,1,0,4.553.10000,2024-12-15 22:20:20,,,4.553.10000,0.0,neutral
User_1229,,good service with reasonable fare,5,0,4.556.10005,2024-12-15 21:59:02,,,4.556.10005,0.4404,positive
User_1243,,Prices are competitive and rides are available.,4,0,4.556.10005,2024-12-15 21:15:17,,,4.556.10005,0.1779,positive
User_1264,,Price surging is a scam. App uses algorithms to charge you more.,1,0,4.534.10000,2024-12-15 20:25:35,,,4.534.10000,-0.5719,negative
User_1280,,Too expensive and cars not available. Totally useless,1,0,4.556.10005,2024-12-15 19:51:01,,,4.556.10005,0.3713,positive
User_1285,,I love this App. As compared to other Apps ride price low.,5,0,4.555.10003,2024-12-15 19:39:20,,,4.555.10003,0.4767,positive
User_1286,,"I recently faced an issue with fare discrepancies during two Uber Auto rides—while the fare displayed in my app was Rs.103 and Rs.111 respectively, the driver’s app showed higher amounts of Rs.111 and Rs.123, which I ended up paying to avoid conflict. This inconsistency between the rider and driver apps needs to be addressed urgently for a smoother experience.",3,0,,2024-12-15 19:36:57,,,,-0.2732,negative
User_1298,,Worst app ever. Every time when I try to book cab initially it shows less amount and when I book it never books the cab and take too long to book. Second time when I try they increase the fares way too much. This app is pathetic. 1 star is the least I can give otherwise they don't deserve 1 star also.,1,0,4.556.10005,2024-12-15 19:18:34,,,4.556.10005,-0.7579,negative
User_1332,,Never select payment method as wallet as I found Uber hikes the fare after completing ride. As long as I was using cash payment the initial estimate and final fare were same. The moment I switched to wallet based payment the final fare deducted from wallet was much higher than initial estimate. What AI Uber app is applying to deceive riders?,2,0,4.556.10005,2024-12-15 17:37:24,,,4.556.10005,-0.4019,negative
User_1334,,Excellent service....fair price,5,0,4.555.10003,2024-12-15 17:37:10,,,4.555.10003,0.5719,positive
User_1346,,If you search some taxi fares so Uber cut money from your account. I book only one ride and Uber cut two time money from my account 14 pound. I book one trip and cancel within one second then Uber cut my money from my account 7 pound,1,0,4.556.10005,2024-12-15 17:02:58,,,4.556.10005,-0.8155,negative
User_1349,,"This app has few trip fare glitches.One side trip fare from lucknow to kanpur shows 1.2k for 100kms , which increases drastically to 6-7k if I convert it to a round trip 200kms. Moreover the trip map is faulty as it shows the path covering Bareilly.",1,0,4.553.10000,2024-12-15 16:57:20,,,4.553.10000,-0.3182,negative
User_1381,,Reasonable & Affordable,5,0,4.556.10005,2024-12-15 15:42:43,,,4.556.10005,0.0,neutral
User_1385,,Good service but can be cheaper,4,0,4.555.10003,2024-12-15 15:35:16,,,4.555.10003,0.2382,positive
User_1386,,"I was a big fan of Uber until tonight. I booked an Uber home from an event, a price and pickup time were quoted, then no driver was found. Several times, with ever increasing prices. After 45 minutes I got a ride on Lyft (for less than the original price that was never honoured). Uber, if you quote a price, honour it. If that means you have to pay drivers extra, then that's what you should do.",2,0,4.556.10005,2024-12-15 15:27:03,,,4.556.10005,0.4231,positive
